@relation PL
@ATTRIBUTE HomeValue NUMERIC
@ATTRIBUTE AwayValue NUMERIC
@ATTRIBUTE HomePtsSeas NUMERIC
@ATTRIBUTE AwayPtsSeas NUMERIC
@ATTRIBUTE HomePtsLast NUMERIC
@ATTRIBUTE AwayPtsLast NUMERIC
@ATTRIBUTE HomePtsHome NUMERIC
@ATTRIBUTE AwayPtsAway NUMERIC
@ATTRIBUTE HomeGoalsSeas NUMERIC
@ATTRIBUTE AwayGoalsSeas NUMERIC
@ATTRIBUTE HomeGoalsLast NUMERIC
@ATTRIBUTE AwayGoalsLast NUMERIC
@ATTRIBUTE HomeGoalsHome NUMERIC
@ATTRIBUTE AwayGoalsAway NUMERIC
@ATTRIBUTE HomeGoalsConcSeas NUMERIC
@ATTRIBUTE AwayGoalsConcSeas NUMERIC
@ATTRIBUTE HomeGoalsConcLast NUMERIC
@ATTRIBUTE AwayGoalsConcLast NUMERIC
@ATTRIBUTE HomeGoalsConcHome NUMERIC
@ATTRIBUTE AwayGoalsConcAway NUMERIC
@ATTRIBUTE Winner {H, D, A}
@data
2.95,4.57,1.71,1.57,2.33,1.33,1.33,1.33,1.57,1,2,1.67,1.67,0.67,1,1.29,1,2,1.67,1,D
2.95,1.4,1.26,0.91,0.67,1.33,1.08,0.64,1.74,1.09,1.33,2,2,0.55,1.48,1.78,1.67,2,1.83,2.09,H
2.95,1.47,1.32,1,1,1,1.18,0.6,1.77,0.91,1.33,1.33,2.09,0.8,1.45,1.36,1.33,2,1.82,1.4,A
6.4,5.58,1.76,1.62,1.33,2,2.07,1.27,1.79,1.28,1.33,1.33,2.6,1.2,1.07,0.93,1,1,1.13,1.33,A
6.4,1.22,2.25,1,1,1.33,2.25,0.75,2.38,1.25,2.67,1.33,3,1.5,0.88,1.5,2.33,1,0.75,2.25,H
6.4,0.61,2.2,0.9,2.33,0,2.4,1,2.4,1.4,3.67,1,3.4,1.6,0.8,2.1,0.67,3,0.8,2.6,H
6.4,2.11,1.96,2.08,2.33,2.33,2.33,2.08,1.92,1.83,2.33,2,2.75,1.92,0.96,1.08,0.67,0.33,1,1.08,A
6.4,1.72,1.90,1.48,1.67,0.33,2.27,1.7,1.86,1.1,0.67,0,2.64,1.1,1,0.95,0.33,1.33,1.09,0.8,H
6.4,0.72,1.74,0.57,0,0,2,0.43,1.78,0.79,0.67,0.67,2.5,0.79,1.15,1.82,2.67,3.67,1.21,2,H
6.4,4.63,1.88,1.92,1.33,3,2.15,1.92,1.88,1.8,1.33,2.33,2.62,1.83,1.04,0.76,1.67,0.33,1.15,0.83,A
6.4,2.95,1.95,1.35,2.33,1.33,2.4,1.56,1.95,1.8,2,1.67,2.9,1.44,1.05,1.45,0.67,1.67,1.2,1,D
